Instancias,Plantas,Produtos,Periodos,Bin_vars,Setup_time,Setup_cost,Capacidade,Obj_RF_1_0,Time_RF_1_0,Obj_RF_2_0,Time_RF_2_0,Obj_RF_2_1,Time_RF_2_1,Obj_RF_3_0,Time_RF_3_0,Obj_RF_3_1,Time_RF_3_1,Obj_RF_3_2,Time_RF_3_2,Obj_RF_4_0,Time_RF_4_0,Obj_RF_4_1,Time_RF_4_1,Obj_RF_4_2,Time_RF_4_2,Obj_RF_4_3,Time_RF_4_3,Obj_RF_6_0,Time_RF_6_0,Obj_RF_6_1,Time_RF_6_1,Obj_RF_6_2,Time_RF_6_2,Obj_RF_6_3,Time_RF_6_3,Obj_RF_6_4,Time_RF_6_4,Obj_RF_6_5,Time_RF_6_5,Obj_RF_T_0,Time_RF_T_0
ABA02_12_6_10,6,10,12,720,high,normal,tight,128831.16,6.6,128769.23,9.2,128778.67,14.58,128802.44,26.64,128785.01,21.1,128777.47,101.8,128769.23,71.8,128778.67,92.4,128769.23,195.9,128769.23,421.4,128769.23,232.33,128769.23,742.27,128769.23,775.1,128769.23,684.05,128769.23,1022.28,128769.23,1606.25,128769.23,1800.1
ABA02_12_6_60,6,60,12,4320,high,normal,tight,779066.52,30.8,778978.67,29.51,778893.01,51.84,778873.8,90.09,778799.12,43.2,778812.56,172.7,778774.4,144.1,778796.06,80.4,778750.57,264.9,778744.56,348,778758.68,129.8,778788.93,176.6,778733.21,443,778728.56,381.14,778743.44,678.73,778737.04,851.37,778723.9,1800.1
ABA02_12_6_120,6,120,12,8640,high,normal,tight,1546786.42,98.8,1546412.95,93.82,1546377.46,135.8,1546329.7,151.27,1546323.95,136.7,1546455.45,349.5,1546293.33,103.4,1546147.17,135.9,1546148.19,312.5,1546295.01,345.1,1546165.71,146.48,1546194.1,259.38,1546162.84,274.5,1546171.27,380.94,1546275.97,354.72,1546237.26,395.84,1546088.4,467
ABA02_12_15_10,15,10,12,1800,high,normal,tight,311097.49,45.1,311025.11,121.46,311010.66,199.3,311022.26,316.47,311003.81,361.3,311000.82,888.1,311001.61,601.4,310992.22,692.9,310999.38,1219.8,311010.15,1429.4,311006.58,1333.07,310998.69,1228.17,311013.86,1777.9,311012.95,1732.22,311010.55,1800.54,311076.39,1758.14,311022.31,1800.1
ABA02_12_15_60,15,60,12,10800,high,normal,tight,1836507.65,458.8,1836216.51,662.53,1836469.01,1145.93,1836004.05,890.44,1835957.85,1203,1837444.08,1803.2,1836097.47,1021,1836273.55,1571.3,1836879.68,1801.1,1838961.08,1802,1836466.74,1800.56,1836993.85,1303.4,1837022.58,1728.4,1836985.7,1801.8,1837563.3,1800.98,1837738.88,1800.99,1838258.05,1800.2
ABA02_12_15_120,15,120,12,21600,high,normal,tight,3977058.48,1442.5,3638225.85,1009.12,4013411.33,1608.26,3638196.59,1032.68,3646964.98,1596,8146852.87,1803.1,3640654.08,1348.7,3648824,1549.6,4552322.21,1708.9,4355072.92,1803.7,3642225.61,1800.57,3653806.22,1495.08,3655556.17,1771.8,6860919.58,1801.02,7092591.87,1800.55,7997639.27,1801.16,3641650.29,1800.1
ABA02_12_20_10,20,10,12,2400,high,normal,tight,411412.88,85.6,411325.71,223.98,411305.44,621.7,411281.17,761.23,411286.37,879.1,411300.44,1421,411272.96,1445.1,411288.76,1563.6,411327.95,1706.3,411316.78,1798.3,411322.08,1800.93,411304.34,1245.37,411301.71,1800.3,411329.55,1800.41,411349.12,1800.41,411387.01,1800.41,411304.23,1800.2
ABA02_12_20_60,20,60,12,14400,high,normal,tight,2407164.42,936.9,2406919.82,833.48,2412331.39,1733.55,2406698.91,1212.92,2408894.22,1604.9,2510004.45,1772.7,2406578.26,1317.7,2408867.38,1801.8,2410312.5,1736.3,5015931.83,1802.3,2406627.62,1802.42,2406909.79,1321,2406915.54,1709.6,2407021,1800.82,2410983.36,1802.1,2414851.15,1802.11,2407701.21,1800.3
ABA02_12_20_120,20,120,12,28800,high,normal,tight,5206590.22,1623.8,5526247.65,1522.7,11411730.09,1804.09,5291501.09,1438.82,6192730.66,1759.9,12365384.17,1805.1,5458706.44,1485.7,5792747.43,1595.6,6186230.61,1801.1,12935657.3,1803,10009710.12,1801.11,5659716.61,1496.38,5478066.88,1801.2,11408950.18,1800.96,10110655.42,1800.74,12762095.11,1801.45,5080257.62,1800.8
ABA03_12_2_10,2,10,12,240,high,normal,tight,53638.86,1.6,53339.18,1.38,53097.12,2.94,53245.23,2.23,53030.93,3.6,53039.46,3.9,53161.78,3.6,53057.89,2.7,53057.89,3.2,52928.74,5.8,53016.54,38.56,52972.47,25.05,52947.65,15.2,52928.74,18.58,52926.59,17.28,52926.59,39.76,52922.3,687.8
